checkpoint,episodes,success_rate,collision_rate,timeout_rate,unstable_rate,out_of_bounds_rate,mean_terminal_goal_distance,mean_terminal_speed,mean_terminal_obstacle_clearance,mean_terminal_x,mean_terminal_y,mean_episode_return,mean_episode_length,mean_path_length,mean_min_goal_distance,mean_goal_distance,mean_speed,mean_min_obstacle_clearance,mean_max_speed,success_mean_max_speed,collision_mean_max_speed,success_mean_min_obstacle_clearance,collision_mean_min_obstacle_clearance,success_mean_episode_length,collision_mean_episode_length,collision_mean_terminal_x,collision_mean_terminal_y,termination_counts
1600,10,0.0,1.0,0.0,0.0,0.0,3.5767462253570557,0.3517434895038605,0.3999505043029785,6.889392375946045,4.6000494956970215,9.635251731218887,574.0,11.695858644969121,3.475882053375244,6.259184043581894,0.5098188375676528,0.3999505043029785,1.2339518070220947,nan,1.2339518070220947,nan,0.3999505043029785,nan,574.0,6.889392375946045,4.6000494956970215,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
1650,10,0.0,0.0,1.0,0.0,0.0,4.600371837615967,0.01440400816500187,0.40004658699035645,8.062028884887695,3.4000465869903564,-18.19668504595029,1500.0,10.754212953987462,3.9500975608825684,5.311762153943379,0.18144947664284455,0.40001416206359863,1.257109522819519,nan,nan,nan,nan,nan,nan,nan,nan,"{""success"": 0, ""collision"": 0, ""timeout"": 10, ""unstable"": 0, ""out_of_bounds"": 0}"
1700,10,0.0,1.0,0.0,0.0,0.0,3.178774833679199,0.1291583925485611,0.3999997079372406,7.3821516036987305,4.881847858428955,10.670717261586105,462.0,10.413383748098568,3.178774833679199,6.690176111279112,0.5636094995094989,0.3999997079372406,1.2511969804763794,nan,1.2511969804763794,nan,0.3999997079372406,nan,462.0,7.3821516036987305,4.881847858428955,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
1750,10,0.0,1.0,0.0,0.0,0.0,2.7739272117614746,0.530448317527771,0.39993762969970703,8.600062370300293,5.291753768920898,12.129213916159642,517.0,11.749105914219399,2.7739272117614746,6.5141720329078066,0.5685435564503096,0.39993762969970703,1.2232258319854736,nan,1.2232258319854736,nan,0.39993762969970703,nan,517.0,8.600062370300293,5.291753768920898,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
1800,10,0.0,1.0,0.0,0.0,0.0,3.2958924770355225,0.06722228974103928,0.39997535943984985,7.329360008239746,4.773058891296387,11.236012931454752,471.0,10.391101496534247,3.2958924770355225,6.755040703305772,0.5516373500037116,0.39997535943984985,1.2416764497756958,nan,1.2416764497756958,nan,0.39997535943984985,nan,471.0,7.329360008239746,4.773058891296387,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
1850,10,0.0,0.0,1.0,0.0,0.0,3.55684232711792,0.009492333978414536,0.40002918243408203,6.955524444580078,4.599970817565918,-17.7490848390662,1500.0,10.144383887635058,3.547802209854126,4.602666877269746,0.17070182705895665,0.40001583099365234,1.1631654500961304,nan,nan,nan,nan,nan,nan,nan,nan,"{""success"": 0, ""collision"": 0, ""timeout"": 10, ""unstable"": 0, ""out_of_bounds"": 0}"
1900,10,0.0,1.0,0.0,0.0,0.0,3.3918678760528564,0.09472967684268951,0.3999941945075989,7.254174709320068,4.691146373748779,10.860771023166308,457.0,10.044364202112774,3.3918678760528564,6.809818058619092,0.5493924726326532,0.3999941945075989,1.227218747138977,nan,1.227218747138977,nan,0.3999941945075989,nan,457.0,7.254174709320068,4.691146373748779,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
1950,10,0.0,1.0,0.0,0.0,0.0,2.22316837310791,0.5445417165756226,0.39993858337402344,8.600061416625977,5.859344959259033,12.404624988856085,514.0,11.9987778016839,2.22316837310791,6.3283304996527585,0.5840550267612308,0.39993858337402344,1.3445541858673096,nan,1.3445541858673096,nan,0.39993858337402344,nan,514.0,8.600061416625977,5.859344959259033,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2000,10,0.0,1.0,0.0,0.0,0.0,2.9203805923461914,0.15767203271389008,0.3999776840209961,7.399977684020996,5.1419243812561035,4.777223083176068,646.0,10.842169094480596,2.9203805923461914,5.8483999565289855,0.4207640264789507,0.3999776840209961,1.2180688381195068,nan,1.2180688381195068,nan,0.3999776840209961,nan,646.0,7.399977684020996,5.1419243812561035,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2050,10,0.0,1.0,0.0,0.0,0.0,1.2044779062271118,0.38094303011894226,0.39995670318603516,8.600043296813965,6.955626964569092,14.310400547867175,562.0,13.151538645215624,1.2044779062271118,6.043248410114614,0.5856578808320931,0.39995670318603516,1.2598785161972046,nan,1.2598785161972046,nan,0.39995670318603516,nan,562.0,8.600043296813965,6.955626964569092,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2100,10,0.0,1.0,0.0,0.0,0.0,3.7638142108917236,0.5893536806106567,0.3998379707336426,6.385255336761475,4.600162029266357,9.956688151563867,312.0,8.626489242720709,3.7638142108917236,8.261460185815126,0.6921174873800153,0.3998379707336426,1.1629319190979004,nan,1.1629319190979004,nan,0.3998379707336426,nan,312.0,6.385255336761475,4.600162029266357,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2150,10,0.0,1.0,0.0,0.0,0.0,3.0452373027801514,0.17719914019107819,0.3999977111816406,7.399997711181641,5.014456748962402,10.704886543266184,497.0,10.57742786439485,3.0452373027801514,6.612743945188926,0.5326614147975058,0.3999977111816406,1.2007789611816406,nan,1.2007789611816406,nan,0.3999977111816406,nan,497.0,7.399997711181641,5.014456748962402,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2200,10,0.0,1.0,0.0,0.0,0.0,3.047659158706665,0.22601088881492615,0.39998865127563477,7.399988651275635,5.011988639831543,10.218970781555981,521.0,10.489376456171158,3.047659158706665,6.5029016735457645,0.5034894005778906,0.39998865127563477,1.1767741441726685,nan,1.1767741441726685,nan,0.39998865127563477,nan,521.0,7.399988651275635,5.011988639831543,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2250,10,0.0,1.0,0.0,0.0,0.0,3.365366220474243,0.11202196031808853,0.399990051984787,7.278491973876953,4.712886333465576,9.111334492336027,516.0,10.27725051348898,3.365366220474243,6.550649193368217,0.49892977340523215,0.399990051984787,1.155392050743103,nan,1.155392050743103,nan,0.399990051984787,nan,516.0,7.278491973876953,4.712886333465576,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2300,10,0.0,1.0,0.0,0.0,0.0,3.8685462474823,0.5618355870246887,0.3999953269958496,6.154551029205322,4.60000467300415,10.116681283325306,310.0,8.503444457455771,3.8685462474823,8.299144397243378,0.6864860933642054,0.3999953269958496,1.1695796251296997,nan,1.1695796251296997,nan,0.3999953269958496,nan,310.0,6.154551029205322,4.60000467300415,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2350,10,1.0,0.0,0.0,0.0,0.0,0.26798704266548157,0.08502061665058136,0.9086709022521973,7.908670902252197,7.748055458068848,98.30456977723406,637.0,13.863248986912367,0.236911341547966,5.466501722109373,0.5439662258480669,0.4528071880340576,1.2418802976608276,1.2418802976608276,nan,0.4528071880340576,nan,637.0,nan,nan,nan,"{""success"": 10, ""collision"": 0, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
2400,10,0.0,1.0,0.0,0.0,0.0,3.2132678031921387,0.11018484085798264,0.3999871015548706,7.370397090911865,4.84901762008667,9.00745127909613,487.0,10.129854764611082,3.2132678031921387,6.5276489957891695,0.5208107607025133,0.3999871015548706,1.26437509059906,nan,1.26437509059906,nan,0.3999871015548706,nan,487.0,7.370397090911865,4.84901762008667,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
