step,time_s,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,root_vel_world_x,root_vel_world_y,root_vel_world_z,root_ang_vel_world_x,root_ang_vel_world_y,root_ang_vel_world_z,base_lin_vel_body_x,base_lin_vel_body_y,base_lin_vel_body_z,base_ang_vel_body_x,base_ang_vel_body_y,base_ang_vel_body_z,base_euler_roll,base_euler_pitch,base_euler_yaw,dof_pos_1,dof_pos_2,dof_vel_1,dof_vel_2,policy_action_1,policy_action_2,output_action_1,output_action_2,torque_1,torque_2,command_1,command_2,command_3,goal_dist,obstacle_clearance,contact_norm_base_link,contact_norm_link1,contact_norm_link2,done,success,collision,timeout,unstable,out_of_bounds,terminal_x,terminal_y,terminal_goal_distance,terminal_speed,terminal_clearance
30,1.1999999731779099,0.058473833,-0.0069490327,0.40000775,0.009206942,-0.01296533,-0.00017893418,0.99987346,0.14012511,0.06979218,-0.00015599089,-0.14646809,-0.0020934977,0.0069091446,0.14003228,0.06979411,-0.0050741094,-0.14623843,-0.001983333,0.010742199,0.018423429,-0.025926987,-0.0005967658,0.17397563,-0.0025536716,0.32226595,-0.043865427,4.5359774,-0.10657412,0.59999996,-0.05328706,9.0713,-3.5252943,8.0,8.0,0.0,11.277369499206543,5.04032039642334,0.0,1272.6002197265625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
31,1.2399999722838402,0.064298004,-0.004308518,0.40000796,0.0059185433,-0.013027721,9.755432e-06,0.9998976,0.1481812,0.07191016,-0.00014705125,-0.13095805,-0.0006707837,0.0059535615,0.14811738,0.07187762,-0.0048586433,-0.13075839,-0.0005775127,0.009370868,0.011839915,-0.026055839,-0.00013474714,0.18868929,-0.0077978643,0.3300503,-0.086284146,4.521574,-0.17606147,0.61999995,-0.08803073,9.972923,-10.879767,8.0,8.0,0.0,11.271393775939941,5.035131931304932,0.0,1273.7730712890625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
32,1.2799999713897705,0.070439965,-0.001572152,0.40000767,0.0025368943,-0.013078073,0.00021226359,0.99991125,0.15600945,0.072921336,-0.00013459421,-0.15757512,0.00022826446,0.0077566304,0.15597866,0.072843134,-0.004584982,-0.15731825,0.00034491604,0.011873741,0.005069542,-0.026157884,0.00035825666,0.20407577,-0.014538205,0.36014223,-0.13775992,4.4962964,-0.20323004,0.6399999,-0.10161502,9.497301,-2.6728058,8.0,8.0,0.0,11.265127182006836,5.029654502868652,0.0,1272.8785400390625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
33,1.3199999704957008,0.076906115,0.0014074617,0.40000764,-0.0011668891,-0.013067377,0.0004631786,0.99991375,0.16412185,0.07938956,-0.00013381873,-0.17105244,0.0034925214,0.009798113,0.16413815,0.07924259,-0.004238564,-0.17073452,0.0036227508,0.014273058,-0.0023464854,-0.026134394,0.00095710065,0.22020793,-0.021252632,0.3792332,-0.13285181,4.4627094,-0.21964179,0.6599999,-0.109820895,9.369896,-2.4555168,8.0,8.0,0.0,11.258459091186523,5.023349285125732,0.0,1272.71337890625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
34,1.3599999696016312,0.083693005,0.0044222395,0.4000077,-0.0049118167,-0.013022985,0.0007232768,0.99990284,0.17217666,0.08116676,-0.00015622485,-0.15505156,0.0041437875,0.008816226,0.17224178,0.08093728,-0.0038457143,-0.15476273,0.0042612464,0.012892612,-0.009845014,-0.026039276,0.0015748807,0.23711596,-0.029987814,0.38802132,-0.17415409,4.423046,-0.30359352,0.6799999,-0.1498209,10.174069,-10.055607,8.0,8.0,0.0,11.251541137695312,5.016098976135254,0.0,1273.7904052734375,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
35,1.3999999687075615,0.09079415,0.007491995,0.40000802,-0.008697033,-0.012995903,0.0009948178,0.99987715,0.17994145,0.08179432,-0.00013809034,-0.17310578,0.003290798,0.010431781,0.18005785,0.08146685,-0.0033971183,-0.1727687,0.003413838,0.0149856,-0.017424544,-0.02597423,0.002216192,0.25476456,-0.0406885,0.41484374,-0.23293948,4.414908,-0.3548954,0.69999987,-0.1774477,9.892859,-4.875824,8.0,8.0,0.0,11.244363784790039,5.008530616760254,0.0,1273.4730224609375,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
36,1.4399999678134918,0.09821293,0.011006945,0.40000775,-0.013057313,-0.012943028,0.0013671165,0.99983,0.18772824,0.09288017,-0.00010920875,-0.21683924,0.005010458,0.01638753,0.1879471,0.09240123,-0.0025527212,-0.21632677,0.005099797,0.022126993,-0.026157295,-0.025848832,0.0030728017,0.27320096,-0.049725387,0.45062816,-0.19317707,4.3766437,-0.31393033,0.71999985,-0.15696517,9.212208,3.0099678,8.0,8.0,0.0,11.236647605895996,5.00056266784668,0.0,1271.6710205078125,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
37,1.4799999669194221,0.105951205,0.014761732,0.40000784,-0.017728783,-0.012838603,0.0017994571,0.9997587,0.1956822,0.10075494,-0.00015060554,-0.20069987,0.0063240803,0.01633149,0.19602093,0.100081295,-0.0016193009,-0.20018853,0.006371134,0.0217047,-0.03551432,-0.025610005,0.004054612,0.29245645,-0.059242833,0.4618545,-0.18621011,4.3683662,-0.3808338,0.73999983,-0.1904169,10.065432,-9.222816,8.0,8.0,0.0,11.228536605834961,4.992234706878662,0.0,1273.4437255859375,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
38,1.5199999660253525,0.11399801,0.01853952,0.40000784,-0.022384945,-0.0127631845,0.0022403097,0.99966544,0.2033418,0.10089729,-0.00016227415,-0.20286138,0.0038900082,0.01681876,0.20377897,0.10000783,-0.00086141785,-0.20234612,0.0039251004,0.022167228,-0.04484161,-0.025420269,0.0050521805,0.31249264,-0.07149022,0.47896492,-0.2601305,4.557366,-1.1712595,0.7599998,-0.2304169,10.54527,-10.3083725,8.0,8.0,0.0,11.220193862915039,4.983601093292236,0.0,1274.194580078125,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
39,1.5599999651312828,0.122347586,0.022435667,0.40000832,-0.027178256,-0.012744392,0.0027144852,0.99954563,0.21085918,0.104044,-0.00014775715,-0.21654637,0.0012429246,0.01902576,0.21142037,0.102898575,9.500462e-05,-0.21598326,0.001231137,0.024607858,-0.05444536,-0.025332363,0.0061212466,0.33339,-0.08584499,0.5051639,-0.313995,4.47665,-1.0393223,0.7799998,-0.2704169,10.23277,-8.095715,8.0,8.0,0.0,11.211553573608398,4.974648475646973,0.0,1273.9674072265625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
